AÑO,ENTIDAD,SEXO,EDAD,DEFUNCIONES
1950,República Mexicana,Hombres,0,95998
1950,República Mexicana,Mujeres,0,80330
1950,República Mexicana,Hombres,1,31421
1950,República Mexicana,Mujeres,1,31009
1950,República Mexicana,Hombres,2,15594
1950,República Mexicana,Mujeres,2,16072
1950,República Mexicana,Hombres,3,9062
1950,República Mexicana,Mujeres,3,9481
1950,República Mexicana,Hombres,4,5759
1950,República Mexicana,Mujeres,4,6042
1950,República Mexicana,Hombres,5,3890
1950,República Mexicana,Mujeres,5,4061
1950,República Mexicana,Hombres,6,2748
1950,República Mexicana,Mujeres,6,2837
1950,República Mexicana,Hombres,7,2024
1950,República Mexicana,Mujeres,7,2052
1950,República Mexicana,Hombres,8,1567
1950,República Mexicana,Mujeres,8,1547
1950,República Mexicana,Hombres,9,1276
1950,República Mexicana,Mujeres,9,1218
1950,República Mexicana,Hombres,10,1096
1950,República Mexicana,Mujeres,10,1006
1950,República Mexicana,Hombres,11,995
1950,República Mexicana,Mujeres,11,878
1950,República Mexicana,Hombres,12,950
1950,República Mexicana,Mujeres,12,811
1950,República Mexicana,Hombres,13,947
1950,República Mexicana,Mujeres,13,788
1950,República Mexicana,Hombres,14,971
1950,República Mexicana,Mujeres,14,795
1950,República Mexicana,Hombres,15,1014
1950,República Mexicana,Mujeres,15,824
1950,República Mexicana,Hombres,16,1069
1950,República Mexicana,Mujeres,16,866
1950,República Mexicana,Hombres,17,1131
1950,República Mexicana,Mujeres,17,915
1950,República Mexicana,Hombres,18,1196
1950,República Mexicana,Mujeres,18,967
1950,República Mexicana,Hombres,19,1259
1950,República Mexicana,Mujeres,19,1018
1950,República Mexicana,Hombres,20,1316
1950,República Mexicana,Mujeres,20,1062
1950,República Mexicana,Hombres,21,1362
1950,República Mexicana,Mujeres,21,1097
1950,República Mexicana,Hombres,22,1404
1950,República Mexicana,Mujeres,22,1127
1950,República Mexicana,Hombres,23,1438
1950,República Mexicana,Mujeres,23,1151
1950,República Mexicana,Hombres,24,1466
1950,República Mexicana,Mujeres,24,1168
1950,República Mexicana,Hombres,25,1494
1950,República Mexicana,Mujeres,25,1184
1950,República Mexicana,Hombres,26,1515
1950,República Mexicana,Mujeres,26,1195
1950,República Mexicana,Hombres,27,1529
1950,República Mexicana,Mujeres,27,1199
1950,República Mexicana,Hombres,28,1536
1950,República Mexicana,Mujeres,28,1197
1950,República Mexicana,Hombres,29,1537
1950,República Mexicana,Mujeres,29,1191
1950,República Mexicana,Hombres,30,1533
1950,República Mexicana,Mujeres,30,1181
1950,República Mexicana,Hombres,31,1527
1950,República Mexicana,Mujeres,31,1169
1950,República Mexicana,Hombres,32,1520
1950,República Mexicana,Mujeres,32,1159
1950,República Mexicana,Hombres,33,1517
1950,República Mexicana,Mujeres,33,1150
1950,República Mexicana,Hombres,34,1516
1950,República Mexicana,Mujeres,34,1146
1950,República Mexicana,Hombres,35,1521
1950,República Mexicana,Mujeres,35,1146
1950,República Mexicana,Hombres,36,1532
1950,República Mexicana,Mujeres,36,1151
1950,República Mexicana,Hombres,37,1546
1950,República Mexicana,Mujeres,37,1160
1950,República Mexicana,Hombres,38,1563
1950,República Mexicana,Mujeres,38,1173
1950,República Mexicana,Hombres,39,1580
1950,República Mexicana,Mujeres,39,1187
1950,República Mexicana,Hombres,40,1596
1950,República Mexicana,Mujeres,40,1202
1950,República Mexicana,Hombres,41,1610
1950,República Mexicana,Mujeres,41,1217
1950,República Mexicana,Hombres,42,1622
1950,República Mexicana,Mujeres,42,1232
1950,República Mexicana,Hombres,43,1634
1950,República Mexicana,Mujeres,43,1248
1950,República Mexicana,Hombres,44,1647
1950,República Mexicana,Mujeres,44,1268
1950,República Mexicana,Hombres,45,1663
1950,República Mexicana,Mujeres,45,1291
1950,República Mexicana,Hombres,46,1680
1950,República Mexicana,Mujeres,46,1317
1950,República Mexicana,Hombres,47,1697
1950,República Mexicana,Mujeres,47,1345
1950,República Mexicana,Hombres,48,1710
1950,República Mexicana,Mujeres,48,1372
1950,República Mexicana,Hombres,49,1717
1950,República Mexicana,Mujeres,49,1395
1950,República Mexicana,Hombres,50,1714
1950,República Mexicana,Mujeres,50,1411
1950,República Mexicana,Hombres,51,1701
1950,República Mexicana,Mujeres,51,1421
1950,República Mexicana,Hombres,52,1681
1950,República Mexicana,Mujeres,52,1426
1950,República Mexicana,Hombres,53,1658
1950,República Mexicana,Mujeres,53,1427
1950,República Mexicana,Hombres,54,1635
1950,República Mexicana,Mujeres,54,1430
1950,República Mexicana,Hombres,55,1617
1950,República Mexicana,Mujeres,55,1438
1950,República Mexicana,Hombres,56,1609
